Nome;Custo_USD;Frete_USD;Embalagem_R$;II_%;IPI_%;ICMS_%;PIS_%;COFINS_;IOF_;Marketplace;Modo_Venda;Tamanho_Kit;Preco_Base
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;30,97759253;6,75;0,5;80,9892;80,9892;80,9892;80,9892;80,9892;80,9892;ATACADO - MercadoLivre Clássico;"""PARES""";50;1799,76
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;61,95518506;6,75;0,5;175,4766;175,4766;175,4766;175,4766;175,4766;175,4766;ATACADO - MercadoLivre Clássico;"""PARES""";100;3899,48
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;123,9103701;6,75;0,5;337,455;337,455;337,455;337,455;337,455;337,455;ATACADO - MercadoLivre Clássico;"""PARES""";200;7499
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;185,8655552;6,75;0,5;512,9316;512,9316;512,9316;512,9316;512,9316;512,9316;ATACADO - MercadoLivre Clássico;"""PARES""";300;11398,48
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;247,8207402;6,75;0,5;674,91;674,91;674,91;674,91;674,91;674,91;ATACADO - MercadoLivre Clássico;"""PARES""";400;14998
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;30,97759253;12,35;0,5;80,9892;80,9892;80,9892;80,9892;80,9892;80,9892;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";50;1799,76
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;61,95518506;12,35;0,5;175,4766;175,4766;175,4766;175,4766;175,4766;175,4766;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";100;3899,48
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;123,9103701;12,35;0,5;337,455;337,455;337,455;337,455;337,455;337,455;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";200;7499
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;185,8655552;12,35;0,5;512,9316;512,9316;512,9316;512,9316;512,9316;512,9316;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";300;11398,48
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;247,8207402;12,35;0,5;674,91;674,91;674,91;674,91;674,91;674,91;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";400;14998
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;30,97759253;12,35;0,5;80,9892;80,9892;80,9892;80,9892;80,9892;80,9892;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";50;1799,76
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;61,95518506;12,35;0,5;175,4766;175,4766;175,4766;175,4766;175,4766;175,4766;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";100;3899,48
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;123,9103701;12,35;0,5;337,455;337,455;337,455;337,455;337,455;337,455;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";200;7499
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;185,8655552;12,35;0,5;512,9316;512,9316;512,9316;512,9316;512,9316;512,9316;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";300;11398,48
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;247,8207402;12,35;0,5;674,91;674,91;674,91;674,91;674,91;674,91;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";400;14998
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;30,97759253;20,95;0,5;48,59352;48,59352;48,59352;48,59352;48,59352;48,59352;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";50;1079,856
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;61,95518506;20,95;0,5;100,021662;100,021662;100,021662;100,021662;100,021662;100,021662;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";100;2222,7036
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;123,9103701;22,55;0,5;182,2257;182,2257;182,2257;182,2257;182,2257;182,2257;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";200;4049,46
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;185,8655552;23,65;0,5;261,595116;261,595116;261,595116;261,595116;261,595116;261,595116;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";300;5813,2248
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;247,8207402;24,65;0,5;330,7059;330,7059;330,7059;330,7059;330,7059;330,7059;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";400;7349,02
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;1,239103701;4,5;0,5;2,7;2,7;2,7;2,7;2,7;2,7;Amazon;"""PARES""";2;60
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;2,478207402;4,5;0,5;3,375;3,375;3,375;3,375;3,375;3,375;Amazon;"""PARES""";4;75
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;3,717311104;4,5;0,5;2,7;2,7;2,7;2,7;2,7;2,7;Amazon;"""PARES""";6;60
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;4,956414805;4,5;0,5;3,375;3,375;3,375;3,375;3,375;3,375;Amazon;"""PARES""";8;75
PRODUTO;CUSTO;TX FRETE ;EMBALAGEM;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;Marketplace;"""PARES""";Quant. Pçs;Valor de Venda
Protetor de Cabo Celular Silicone Colorido USB e Tipo C ;2,769020544;4;0,5;0,81;0,81;0,81;0,81;0,81;0,81;Shopee;"""PARES""";2;18
Protetor de Cabo Celular Silicone Colorido USB e Tipo C ;5,538041087;4;0,5;1,377;1,377;1,377;1,377;1,377;1,377;Shopee;"""PARES""";4;30,6
Protetor de Cabo Celular Silicone Colorido USB e Tipo C ;8,307061631;4;0,5;1,8225;1,8225;1,8225;1,8225;1,8225;1,8225;Shopee;"""PARES""";6;40,5
Protetor de Cabo Celular Silicone Colorido USB e Tipo C ;11,07608217;4;0,5;2,268;2,268;2,268;2,268;2,268;2,268;Shopee;"""PARES""";8;50,4
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;2,769020544;6,55;0,5;0,81;0,81;0,81;0,81;0,81;0,81;MercadoLivre Clássico;"""PARES""";2;18
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;5,538041087;6,55;0,5;1,377;1,377;1,377;1,377;1,377;1,377;MercadoLivre Clássico;"""PARES""";4;30,6
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;8,307061631;7,75;0,5;1,8225;1,8225;1,8225;1,8225;1,8225;1,8225;MercadoLivre Clássico;"""PARES""";6;40,5
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;11,07608217;7,75;0,5;2,268;2,268;2,268;2,268;2,268;2,268;MercadoLivre Clássico;"""PARES""";8;50,4
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;2,769020544;12,35;0,5;1,2915;1,2915;1,2915;1,2915;1,2915;1,2915;MercadoLivre Clássico C/ Frete;"""PARES""";2;28,7
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;5,538041087;12,35;0,5;1,935;1,935;1,935;1,935;1,935;1,935;MercadoLivre Clássico C/ Frete;"""PARES""";4;43
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;8,307061631;12,35;0,5;2,5425;2,5425;2,5425;2,5425;2,5425;2,5425;MercadoLivre Clássico C/ Frete;"""PARES""";6;56,5
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;11,07608217;12,35;0,5;3,1905;3,1905;3,1905;3,1905;3,1905;3,1905;MercadoLivre Clássico C/ Frete;"""PARES""";8;70,9
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;2,769020544;6,55;0,5;0,945;0,945;0,945;0,945;0,945;0,945;MercadoLivre Premium C/ Parcelamento;"""PARES""";2;21
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;5,538041087;6,55;0,5;1,5255;1,5255;1,5255;1,5255;1,5255;1,5255;MercadoLivre Premium C/ Parcelamento;"""PARES""";4;33,9
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;8,307061631;7,75;0,5;2,43;2,43;2,43;2,43;2,43;2,43;MercadoLivre Premium C/ Parcelamento;"""PARES""";6;54
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;11,07608217;7,75;0,5;3,14955;3,14955;3,14955;3,14955;3,14955;3,14955;MercadoLivre Premium C/ Parcelamento;"""PARES""";8;69,99
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;2,769020544;12,35;0,5;1,3455;1,3455;1,3455;1,3455;1,3455;1,3455;MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";2;29,9
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;5,538041087;12,35;0,5;2,025;2,025;2,025;2,025;2,025;2,025;MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";4;45
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;8,307061631;12,35;0,5;2,69955;2,69955;2,69955;2,69955;2,69955;2,69955;MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";6;59,99
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;11,07608217;12,35;0,5;3,37455;3,37455;3,37455;3,37455;3,37455;3,37455;MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";8;74,99
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;138,4510272;6,75;0,5;137,67705;137,67705;137,67705;137,67705;137,67705;137,67705;ATACADO - MercadoLivre Clássico;"""PARES""";100;3059,49
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;276,9020544;6,75;0,5;267,25545;267,25545;267,25545;267,25545;267,25545;267,25545;ATACADO - MercadoLivre Clássico;"""PARES""";200;5939,01
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;415,3530816;6,75;0,5;404,9325;404,9325;404,9325;404,9325;404,9325;404,9325;ATACADO - MercadoLivre Clássico;"""PARES""";300;8998,5
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;553,8041087;6,75;0,5;542,60955;542,60955;542,60955;542,60955;542,60955;542,60955;ATACADO - MercadoLivre Clássico;"""PARES""";400;12057,99
